Designator,Mid X,Mid Y,Rotation,Layer
C1,236.0,-40.49,0.0,top
C2,236.0,-43.0,0.0,top
C3,236.0,-45.51,0.0,top
C4,236.0,-48.02,0.0,top
C5,245.0,-27.98,0.0,top
C6,245.0,-30.49,0.0,top
C7,145.0,-153.0,0.0,top
D1,122.0,-95.0,0.0,top
D2,114.0,-46.0,0.0,top
D3,115.0,-51.0,0.0,top
J1,23.2,-154.1,0.0,top
J2,261.845,-25.16,0.0,top
J3,146.0,-159.0,0.0,top
J4,264.64,-135.46,270.0,top
J5,239.64,-139.46,270.0,top
J6,236.0,-91.76,0.0,top
J7,93.0,-108.0,0.0,top
J8,61.0,-74.0,0.0,top
Q4,138.0,-151.0,0.0,top
R1,100.0,-100.0,0.0,top
R10,161.0,-159.0,0.0,top
R11,156.0,-162.0,0.0,top
R2,131.0,-119.0,0.0,top
R3,122.0,-90.0,0.0,top
R4,52.0,-36.0,0.0,top
R5,245.0,-33.0,0.0,top
R6,245.0,-35.51,0.0,top
R7,156.0,-158.0,0.0,top
R8,139.0,-119.0,0.0,top
R9,162.0,-153.0,0.0,top
U1,111.0,-98.0,0.0,top
U10,96.0,-44.0,0.0,top
U11,79.0,-86.0,0.0,top
U12,83.0,-47.0,0.0,top
U13,164.0,-124.0,0.0,top
U14,190.0,-98.0,0.0,top
U15,84.0,-109.0,0.0,top
U16,147.0,-78.0,0.0,top
U17,251.8375,-54.75,0.0,top
U18,236.0,-29.0,0.0,top
U19,146.0,-119.0,0.0,top
U2,109.0,-64.0,0.0,top
U20,276.0,-110.0,0.0,top
U21,124.0,-105.0,0.0,top
U22,107.0,-47.0,0.0,top
U23,84.0,-125.0,0.0,top
U24,103.0,-110.0,0.0,top
U25,95.0,-162.0,0.0,top
U26,133.0,-161.0,0.0,top
U27,71.0,-151.0,0.0,top
U28,132.0,-174.0,0.0,top
U29,201.3225,-140.46,0.0,top
U3,96.0,-64.0,0.0,top
U30,73.0,-139.0,0.0,top
U31,73.0,-127.0,0.0,top
U32,192.3225,-136.46,0.0,top
U34,40.0,-149.0,0.0,top
U35,126.0,-131.0,0.0,top
U36,126.0,-147.0,0.0,top
U37,57.0,-152.0,0.0,top
U38,106.0,-168.0,0.0,top
U39,124.0,-161.0,0.0,top
U4,43.0,-58.0,0.0,top
U40,82.0,-148.0,0.0,top
U41,137.0,-140.0,0.0,top
U42,82.0,-162.0,0.0,top
U43,93.0,-142.0,0.0,top
U44,146.0,-144.0,0.0,top
U45,155.0,-139.0,0.0,top
U46,155.0,-126.0,0.0,top
U47,260.0,-100.0,0.0,top
U48,273.475,-88.095,0.0,top
U49,179.3225,-126.46,0.0,top
U5,34.0,-58.0,0.0,top
U6,49.0,-44.0,0.0,top
U7,40.0,-46.0,0.0,top
U8,31.0,-45.0,0.0,top
U9,60.0,-45.0,0.0,top
X1,155.0,-151.0,0.0,top
X2,120.0,-60.0,0.0,top
Y1,270.55,-48.75,0.0,top
