Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C51, C52, C53, C54, C55, C56, C57, C58, C59, C8, C9",0603,51,47nF,
"C2, C3, C4",0805,3,330nF,
"C49, C50",1206,2,22uF,
C5,0603,1,22pF,
C6,0603,1,47pF,
C7,0603,1,100nF,
D4,D_PowerDI-123,1,SBR3U60P1,
F1,0603,1,32V 2A 0603,
"GND_10, GND_9, GND_8, GND_7, GND_6, GND_5, GND_4, GND_3, GND_2, GND",PinSocket_1x01_P2.54mm_Vertical,10,TestPoint,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5_DIN965_Pad,4,MountingHole_Pad,
J1,DIP-16_W7.62mm_Socket,1,Keyboard Connector,
J10,694106301002_1,1,694106301002,
"J2, J4, J5",L717SDE09PA4CH3F,3,DE9_Plug_MountingHoles,
J3,1560099E,1,156-0099-E,
J6,PinSocket_1x14_P2.54mm_Vertical,1,GPI/O,
J7,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10,
J8,PinSocket_2x12_P2.54mm_Vertical,1,I/0,
J9,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Counter_Clockwise,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,ASCII D7,
JP10,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,SolderJumper_3_Bridged12,
JP11,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,Rom Window Size,
JP12,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,EEPROM Bank (Manual/Auto),
JP13,PinSocket_1x03_P2.54mm_Vertical,1,EEPROM Bank Sel,
JP14,PinSocket_1x03_P2.54mm_Vertical,1,EEPROM Write Protect,
"JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,8,SolderJumper_2_Open,
Q4,SOT-23_Handsoldering,1,MMBT3904,
"R1, R2, R3",0603,3,2.2K,
R10,0603,1,150R,
R11,0603,1,200R,
"R5, R7",0603,2,1.5k,
R6,0603,1,1M,
R8,0603,1,2K,
R9,0603,1,10R,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.5mm,19,TestPoint,
TP20,TestPoint_Pad_D2.5mm,1,CA2,
U1,MQFP-44_10x10mm_P0.8mm,1,W65C02SxQ,
"U10, U11",SOIC-24W_7.5x15.4mm_P1.27mm,2,74HC154,
U12,SOIC-20W_7.5x12.8mm_P1.27mm,1,74HC273,
U13,TO-220-3_Horizontal_TabDown,1,OKI-78SR-5,
U14,PLCC-28,1,82C54_PLCC,
"U15, U23",SOIC-20W_7.5x12.8mm_P1.27mm,2,74HC373,
"U16, U22, U30",SOIC-14_3.9x8.7mm_P1.27mm,3,74HC32,
U17,TQFP-48_7x7mm_P0.5mm,1,TL16C550D/DL PT/PFB,
U18,TSSOP-28_4.4x9.7mm_P0.65mm,1,TRSF3243,
U19,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC86,
U2,SOIC-28W_7.5x17.9mm_P1.27mm,1,AT28HC64BF,
U20,PLCC-44,1,W65C21SxPL,
"U21, U7",SOIC-14_3.9x8.7mm_P1.27mm,2,74HC02,
U24,DIP-40_W15.24mm,1,6545,
U25,SOIC-28W_7.5x18.7mm_P1.27mm,1,AS6C6264,
"U26, U27, U28, U33, U39, U40, U41, U47, U48",SOIC-16_3.9x9.9mm_P1.27mm,9,74HC157,
"U29, U31, U49, U8, U9",SOIC-14_3.9x8.7mm_P1.27mm,5,74HC08,
"U3, U34",SOIC-28W_7.5x17.9mm_P1.27mm,2,IS62C256AL,
U32,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC04,
"U35, U36, U42, U43",SOIC-20W_7.5x12.8mm_P1.27mm,4,74HC244,
U37,SOIC-20W_7.5x12.8mm_P1.27mm,1,74HC574,
U38,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC165,
"U4, U5, U6",SOIC-14_3.9x8.7mm_P1.27mm,3,74HC00,
U44,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC163,
U45,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC174,
U46,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC74,
X1,Oscillator_SMD_Fordahl_DFAS11-4Pin_7.0x5.0mm,1,DFA-S11,
X2,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm_HandSoldering,1,ASV-2.5MHz,
Y1,Crystal_HC49-U_Horizontal_1EP_style2,1,1.8432MHz,
