Designator,Mid X,Mid Y,Rotation,Layer
C1,188.595,-39.0,90.0,top
C10,125.73,-51.054,180.0,top
C11,185.65,-80.476751,0.0,top
C12,185.65,-63.476751,0.0,top
C13,206.502,-73.406,0.0,top
C14,182.626,-55.626,180.0,top
C15,150.368,-76.708,270.0,top
C16,100.076,-40.64,90.0,top
C17,137.033,-150.114,90.0,top
C18,201.422,-96.52,0.0,top
C19,185.42,-31.496,270.0,top
C2,201.0,-42.5,0.0,top
C20,190.246,-40.64,90.0,top
C21,165.1,-120.396,270.0,top
C22,177.165,-148.59,0.0,top
C23,186.69,-150.114,0.0,top
C24,156.464,-92.71,0.0,top
C25,171.704,-103.886,180.0,top
C26,165.608,-92.71,0.0,top
C27,141.732,-119.634,0.0,top
C28,129.54,-150.114,0.0,top
C29,98.806,-152.4,0.0,top
C3,195.0,-43.5,180.0,top
C30,64.008,-116.84,180.0,top
C31,40.894,-105.664,180.0,top
C32,129.286,-121.158,0.0,top
C33,66.294,-121.158,0.0,top
C34,119.253,-120.015,0.0,top
C35,66.294,-109.728,0.0,top
C36,108.966,-121.158,0.0,top
C37,91.44,-91.694,180.0,top
C38,149.225,-110.871,0.0,top
C39,177.292,-106.553,90.0,top
C4,203.0,-37.5,180.0,top
C40,96.266,-122.428,0.0,top
C41,49.53,-103.505,90.0,top
C42,82.804,-122.428,0.0,top
C43,48.9215,-130.556,0.0,top
C44,157.8345,-103.886,180.0,top
C45,147.32,-92.964,0.0,top
C46,191.77,-100.584,270.0,top
C47,141.986,-123.698,90.0,top
C48,111.76,-72.644,90.0,top
C49,45.5,-26.5,180.0,top
C5,163.235,-30.775,270.0,top
C50,45.5,-29.5,180.0,top
C51,119.888,-25.4,270.0,top
C52,108.712,-26.416,0.0,top
C53,119.888,-18.288,90.0,top
C54,117.094,-37.084,0.0,top
C55,108.331,-37.338,0.0,top
C56,125.5765,-26.416,0.0,top
C57,127.254,-37.084,180.0,top
C58,178.2075,-94.234,180.0,top
C59,175.26,-80.518,270.0,top
C6,168.235,-30.6375,270.0,top
C7,156.21,-24.13,90.0,top
C8,116.078,-76.962,180.0,top
C9,109.22,-50.8,0.0,top
D4,43.15,-20.625,180.0,top
F1,43.0,-23.125,0.0,top
GND_10,134.366,-40.386,0.0,top
GND_9,138.43,-95.504,0.0,top
GND_8,67.564,-129.54,0.0,top
GND_7,206.248,-92.964,0.0,top
GND_6,145.288,-127.254,0.0,top
GND_5,106.426,-19.812,0.0,top
GND_4,93.98,-139.7,0.0,top
GND_3,184.15,-50.038,0.0,top
GND_2,57.658,-100.076,0.0,top
GND,94.234,-75.946,0.0,top
J1,133.34,-162.55,90.0,top
J10,30.7,-15.2,270.0,top
J2,203.045,-25.42,180.0,top
J3,167.64,-22.911,180.0,top
J4,197.66,-153.52,0.0,top
J5,164.525,-153.52,0.0,top
J6,217.805,-107.315,0.0,top
J7,187.96,-119.38,90.0,top
J8,214.96,-76.651751,180.0,top
J9,74.93,-80.01,180.0,top
JP13,131.495,-57.13,90.0,top
JP14,136.52,-53.63,270.0,top
Q4,154.94,-19.685,270.0,top
R1,118.11,-96.52,180.0,top
R10,158.115,-18.6925,270.0,top
R11,158.115,-22.225,270.0,top
R2,108.585,-86.995,0.0,top
R3,108.585,-84.328,0.0,top
R5,170.735,-31.275,180.0,top
R6,165.735,-31.275,0.0,top
R7,150.495,-19.3275,270.0,top
R8,152.4,-19.3275,90.0,top
R9,153.67,-24.13,90.0,top
U1,119.82,-85.6175,90.0,top
U10,193.5,-73.491751,180.0,top
U11,193.5,-56.491751,180.0,top
U12,94.615,-33.02,270.0,top
U13,49.77,-21.46,270.0,top
U14,200.66,-104.14,0.0,top
U15,143.715,-142.875,180.0,top
U16,205.73,-78.73,0.0,top
U17,179.25,-34.6625,270.0,top
U18,195.0,-36.0,180.0,top
U19,172.72,-109.22,0.0,top
U2,120.02,-61.05,0.0,top
U20,162.56,-131.445,180.0,top
U21,123.76,-42.545,0.0,top
U22,179.07,-60.96,0.0,top
U23,146.05,-85.09,0.0,top
U24,94.45,-117.66,90.0,top
U25,52.71,-111.820769,270.0,top
U26,127.234505,-127.270496,0.0,top
U27,117.139505,-127.270496,0.0,top
U28,106.914505,-127.270496,0.0,top
U29,163.83,-109.22,0.0,top
U3,105.41,-60.96,0.0,top
U30,163.835,-98.205769,0.0,top
U31,154.945,-98.205769,0.0,top
U32,172.66,-98.205769,0.0,top
U33,137.394505,-127.205496,0.0,top
U34,122.154505,-143.290769,270.0,top
U35,92.08,-129.955769,0.0,top
U36,78.65,-129.955769,0.0,top
U37,106.48,-146.465769,180.0,top
U38,37.465,-111.695,0.0,top
U39,71.76,-116.620769,180.0,top
U4,115.505,-31.75,0.0,top
U40,71.695,-105.190769,180.0,top
U41,93.35,-96.870769,90.0,top
U42,41.915,-97.570769,270.0,top
U43,56.52,-124.875769,180.0,top
U44,155.702,-109.855,0.0,top
U45,148.147,-116.84,0.0,top
U46,172.72,-86.995,0.0,top
U47,190.5,-144.145,180.0,top
U48,182.88,-144.145,180.0,top
U49,187.325,-105.41,0.0,top
U5,107.25,-31.75,0.0,top
U6,115.44,-21.59,0.0,top
U7,115.57,-42.545,0.0,top
U8,107.14,-42.75,0.0,top
U9,123.76,-31.75,0.0,top
X1,145.882,-97.536,270.0,top
X2,106.68,-74.93,270.0,top
Y1,163.285,-33.425,0.0,top
